cell	label
P2771_N712-S511	J-LatA2+PMA
P2458_N707-S517	J-LatA2+SAHA
P2770_N707-S515	Jurkat+PMA
P2769_N705-S503	Jurkat+SAHA
P2769_N711-S502	Jurkat+SAHA
P2458_N705-S513	Jurkat+DMSO
P2449_N716-S508	J-LatA2+SAHA
P2770_N710-S517	J-LatA2+SAHA
P2770_N710-S521	J-LatA2+PMA
P2771_N707-S505	J-LatA2+DMSO
P2771_N706-S502	Jurkat+DMSO
P2449_N718-S505	J-LatA2+DMSO
P2770_N711-S515	Jurkat+PMA
P2769_N715-S502	Jurkat+SAHA
P2449_N722-S507	J-LatA2+SAHA
P2771_N702-S511	J-LatA2+PMA
P2769_N702-S511	J-LatA2+PMA
P2770_N710-S513	Jurkat+SAHA
P2458_N701-S518	J-LatA2+SAHA
P2770_N707-S513	Jurkat+SAHA
P2771_N703-S508	J-LatA2+SAHA
P2458_N711-S521	J-LatA2+SAHA
P2449_N726-S503	J-LatA2+DMSO
P2449_N721-S503	J-LatA2+DMSO
P2449_N723-S502	J-LatA2+DMSO
P2771_N704-S505	Jurkat+PMA
P2449_N722-S505	J-LatA2+DMSO
P2449_N727-S503	J-LatA2+DMSO
P2771_N703-S507	J-LatA2+SAHA
P2771_N715-S505	J-LatA2+DMSO
P2770_N702-S520	J-LatA2+SAHA
P2771_N711-S503	Jurkat+PMA
P2771_N703-S505	Jurkat+PMA
P2770_N707-S518	J-LatA2+SAHA
P2771_N702-S507	J-LatA2+SAHA
P2769_N707-S503	Jurkat+PMA
P2771_N707-S511	J-LatA2+PMA
P2769_N707-S505	J-LatA2+DMSO
P2458_N707-S513	J-LatA2+DMSO
P2771_N704-S510	J-LatA2+PMA
P2771_N701-S506	J-LatA2+DMSO
P2770_N706-S513	Jurkat+DMSO
P2771_N711-S502	Jurkat+SAHA
P2770_N715-S521	J-LatA2+PMA
P2458_N707-S521	J-LatA2+SAHA
P2449_N723-S506	J-LatA2+SAHA
P2771_N712-S502	Jurkat+SAHA
P2458_N701-S515	J-LatA2+DMSO
P2769_N704-S502	Jurkat+DMSO
P2458_N715-S515	J-LatA2+DMSO
P2449_N726-S506	J-LatA2+SAHA
P2449_N729-S505	J-LatA2+DMSO
P2458_N707-S515	J-LatA2+DMSO
P2770_N714-S520	J-LatA2+PMA
P2449_N729-S511	J-LatA2+SAHA
P2769_N711-S507	J-LatA2+SAHA
P2458_N704-S515	J-LatA2+DMSO
P2770_N703-S513	Jurkat+DMSO
P2771_N706-S507	J-LatA2+SAHA
P2770_N714-S517	J-LatA2+SAHA
P2769_N702-S506	J-LatA2+DMSO
P2769_N704-S508	J-LatA2+SAHA
P2771_N704-S511	J-LatA2+PMA
P2771_N706-S508	J-LatA2+SAHA
P2771_N705-S506	J-LatA2+DMSO
P2771_N711-S511	J-LatA2+PMA
P2771_N703-S511	J-LatA2+PMA
P2449_N718-S503	J-LatA2+DMSO
P2769_N707-S511	J-LatA2+PMA
P2449_N722-S511	J-LatA2+SAHA
P2769_N703-S510	J-LatA2+PMA
P2449_N720-S511	J-LatA2+SAHA
P2771_N715-S508	J-LatA2+PMA
P2770_N712-S517	J-LatA2+SAHA
P2771_N704-S507	J-LatA2+SAHA
P2769_N701-S511	J-LatA2+PMA
P2458_N714-S516	J-LatA2+DMSO
P2769_N705-S506	J-LatA2+DMSO
P2458_N710-S521	J-LatA2+SAHA
P2449_N716-S505	J-LatA2+DMSO
P2769_N715-S506	J-LatA2+SAHA
P2770_N703-S520	J-LatA2+SAHA
P2449_N724-S503	J-LatA2+DMSO
P2770_N704-S517	J-LatA2+DMSO
P2769_N704-S503	Jurkat+SAHA
P2769_N715-S503	Jurkat+PMA
P2449_N720-S508	J-LatA2+SAHA
P2770_N702-S522	J-LatA2+PMA
P2449_N727-S508	J-LatA2+SAHA
P2449_N721-S505	J-LatA2+DMSO
P2770_N702-S518	J-LatA2+SAHA
P2770_N704-S515	Jurkat+SAHA
P2458_N710-S515	J-LatA2+DMSO
P2771_N712-S505	J-LatA2+DMSO
P2770_N703-S518	J-LatA2+SAHA
P2771_N710-S508	J-LatA2+SAHA
P2770_N706-S522	J-LatA2+PMA
P2770_N703-S515	Jurkat+SAHA
P2449_N720-S507	J-LatA2+SAHA
P2458_N704-S518	J-LatA2+SAHA
P2771_N710-S506	J-LatA2+SAHA
P2770_N714-S522	J-LatA2+PMA
P2458_N704-S521	J-LatA2+SAHA
P2769_N710-S510	J-LatA2+PMA
P2449_N719-S505	J-LatA2+DMSO
P2771_N701-S508	J-LatA2+SAHA
P2771_N705-S511	J-LatA2+PMA
P2449_N719-S506	J-LatA2+SAHA
P2449_N718-S507	J-LatA2+SAHA
P2771_N715-S506	J-LatA2+SAHA
P2771_N702-S505	Jurkat+PMA
P2770_N711-S516	J-LatA2+DMSO
P2771_N705-S507	J-LatA2+SAHA
P2449_N719-S507	J-LatA2+SAHA
P2769_N705-S505	Jurkat+PMA
P2458_N705-S521	J-LatA2+SAHA
P2449_N718-S510	J-LatA2+SAHA
P2458_N712-S520	J-LatA2+SAHA
P2458_N706-S513	Jurkat+DMSO
P2769_N705-S507	J-LatA2+SAHA
P2458_N703-S517	J-LatA2+SAHA
P2769_N710-S507	J-LatA2+SAHA
P2449_N716-S510	J-LatA2+SAHA
P2458_N711-S515	J-LatA2+DMSO
P2458_N714-S518	J-LatA2+SAHA
P2771_N705-S510	J-LatA2+PMA
P2769_N715-S505	J-LatA2+DMSO
P2769_N703-S511	J-LatA2+PMA
P2449_N724-S507	J-LatA2+SAHA
P2449_N727-S507	J-LatA2+SAHA
P2770_N712-S522	J-LatA2+PMA
P2449_N722-S502	Jurkat+DMSO
P2458_N701-S520	J-LatA2+SAHA
P2771_N712-S508	J-LatA2+PMA
P2770_N701-S521	J-LatA2+PMA
P2449_N718-S502	Jurkat+DMSO
P2771_N702-S508	J-LatA2+SAHA
